,username,description,description_lemmatized,hand.label_simplified,acad_prob,gov_prob,media_prob,other_prob,tourbiz_prob
1124,empathy1st1,"Educator B.Ed., B.F.A., M.A., CDPPD

#COVIDisAirborne
#Climate
#EndGunViolence
#UniversalHealthcare
#BlackLivesMatter
#IndigenousAlly","['educator', 'b.ed.', ',', 'b.f.a.', ',', 'm.a.', ',', 'cdppd', '#', 'covidisairborne', '#', 'climate', '#', 'endgunviolence', '#', 'universalhealthcare', '#', 'blacklivesmatter', '#', 'indigenousally']",other,0.3859439961055557,0.0013358809269046,0.0086773493053657,0.6037221316663545,0.0003206419958193
1177,kantarjiev,"climber, skier, hacker, seeker
Visit my feed of Twitter news in Morse code, as long as the API stays alive.
I'm also @kantarjiev@tldr.nettime.org","['climber', ',', 'skier', ',', 'hacker', ',', 'seeker', 'visit', 'my', 'feed', 'of', 'twitter', 'news', 'in', 'morse', 'code', ',', 'as', 'long', 'a', 'the', 'api', 'stay', 'alive', '.', 'i', ""'m"", 'also', '@', 'kantarjiev', '@', 'tldr.nettime.org']",other,0.0047047432134676,0.0117944092986531,0.3486930096081956,0.6329817968313501,0.0018260410483337
1190,PaulMick,"Mick Music ~ PhillyEDGE ~ ICON Magazine ~ Rockpile ~ The Record ~ Big Ideas, Images & Distorted Facts ~ Musicians, Artists, Poets & Performers ~ 89.3 WCSD","['mick', 'music', '~', 'phillyedge', '~', 'icon', 'magazine', '~', 'rockpile', '~', 'the', 'record', '~', 'big', 'idea', ',', 'image', '&', 'distorted', 'fact', '~', 'musician', ',', 'artist', ',', 'poet', '&', 'performer', '~', '', 'wcsd']",other,0.002094149018626,0.0007059620611571,0.3186103745693601,0.654274550283658,0.0243149640671987
1239,mannucciao,"independent journalist, newsmaster, self-publisher, professional amateur, male feminist, info-warrior, human being, interstellar force","['independent', 'journalist', ',', 'newsmaster', ',', 'self-publisher', ',', 'professional', 'amateur', ',', 'male', 'feminist', ',', 'info-warrior', ',', 'human', 'be', ',', 'interstellar', 'force']",other,0.0451386887611809,0.0021781976834173,0.3726790043223846,0.5791924749136012,0.0008116343194157
1262,CannabisBizNews,"The web's ONLY, real-time, automatic, breaking Cannabis news feed. Investing, funding, politics, legal, business, recreational, medical & everything else.","['the', 'web', ""'s"", 'only', ',', 'real-time', ',', 'automatic', ',', 'break', 'cannabis', 'news', 'feed', '.', 'investing', ',', 'funding', ',', 'politics', ',', 'legal', ',', 'business', ',', 'recreational', ',', 'medical', '&', 'everything', 'else', '.']",other,0.0045184634769172,0.002456191762695,0.4164336828106655,0.5665836898312214,0.0100079721185004
1279,_varshasingh_,"Ready to move the earth for things that move me.

Editorial Director @mediaindiagroup |

Product Head @indiaoutbound |","['ready', 'to', 'move', 'the', 'earth', 'for', 'thing', 'that', 'move', 'me', '.', 'editorial', 'director', '@', 'mediaindiagroup', '|', 'product', 'head', '@', 'indiaoutbound', '|']",other,0.0128179004709611,0.0062274640633295,0.3816114200830813,0.5970504915349911,0.0022927238476368
1289,LoriAnnBurd,"Environmental Health Director, Center for Biological Diversity. Prolific vegetable eater. Also, a long walk taker, lawyer, gardener, eco-feminist & bug lover.","['environmental', 'health', 'director', ',', 'center', 'for', 'biological', 'diversity', '.', 'prolific', 'vegetable', 'eater', '.', 'also', ',', 'a', 'long', 'walk', 'taker', ',', 'lawyer', ',', 'gardener', ',', 'eco-feminist', '&', 'bug', 'lover', '.']",other,0.3056233749632049,0.0155593637903177,0.0046352418258205,0.6733789999681054,0.0008030194525511
1294,ChaddScott,"Tweeting from the ancestral homelands of the Timucua. Forbes art/travel writer. Art at @seegreatart. Co-host ""Welcome to Florida"" podcast.","['tweet', 'from', 'the', 'ancestral', 'homeland', 'of', 'the', 'timucua', '.', 'forbes', 'art/travel', 'writer', '.', 'art', 'at', '@', 'seegreatart', '.', 'co-host', '``', 'welcome', 'to', 'florida', ""''"", 'podcast', '.']",other,0.0389928954882985,0.0028253521343165,0.3391888656705406,0.6144651211261299,0.0045277655807146
1310,EppleMedia,"Epple Media
Animal Welfare
Environmental Rights
Police News
Photojournalism","['epple', 'media', 'animal', 'welfare', 'environmental', 'right', 'police', 'news', 'photojournalism']",other,0.0014266631075963,0.0043691142455617,0.428480021971305,0.5652351203825219,0.0004890802930151
1359,RobMax4,"Thinker, dreamer, integral ecologist, father, husband, concerned citizen,ex-Chiropractor opal miner and lapidarist who loves travel and good  food.","['thinker', ',', 'dreamer', ',', 'integral', 'ecologist', ',', 'father', ',', 'husband', ',', 'concerned', 'citizen', ',', 'ex-chiropractor', 'opal', 'miner', 'and', 'lapidarist', 'who', 'love', 'travel', 'and', 'good', 'food', '.']",other,0.4285581645048328,0.0021902207327976,0.0011982905722799,0.562433262854169,0.0056200613359209
1382,Lana12856676,"Realtor/Broker - HAPPILY married to Retired🔥Captain 30yrs+
 @Resist 🍊
#Magaitis & Qanonitis = BLOCKED 🤗


*NO DM's*OR 'RELATIONSHIP' SEEKERS*","['realtor/broker', '-', 'happily', 'marry', 'to', 'retired🔥captain', '30yrs+', '@', 'resist', '🍊', '#', 'magaitis', '&', 'qanonitis', '=', 'block', '🤗', '*', 'no', 'dm', ""'s"", '*', 'or', ""'relationship"", ""'"", 'seeker', '*']",other,0.0150939838971429,0.0043875458123545,0.0168575581971927,0.6076751130399606,0.3559857990533493
1431,charityclough,"Physics & Chemistry Modeler, Mom, Space, Floribraskan #NASASocial alum #modphys #modchem #iTeachPhysics","['physic', '&', 'chemistry', 'modeler', ',', 'mom', ',', 'space', ',', 'floribraskan', '#', 'nasasocial', 'alum', '#', 'modphys', '#', 'modchem', '#', 'iteachphysics']",other,0.416460602086065,0.0054902902820132,0.0776880115345936,0.4984802730840542,0.0018808230132737
1498,Dori_TalkNation,"News Radio Producer, 1990-2012 Love my Husband, Family, Dog, Birds, Earth, Horses. A Democrat and vegetarian tree hugger & planter who is pro human rights.","['news', 'radio', 'producer', ',', '', 'love', 'my', 'husband', ',', 'family', ',', 'dog', ',', 'bird', ',', 'earth', ',', 'horse', '.', 'a', 'democrat', 'and', 'vegetarian', 'tree', 'hugger', '&', 'planter', 'who', 'be', 'pro', 'human', 'right', '.']",other,0.0025809002446043,0.0028898399035722,0.3230005160991825,0.6712811018053874,0.0002476419472537
1541,dramajocks,"The Drama Jocks' podcast: spouting weekly sports opinions all over the Internet, whether you like it or not.","['the', 'drama', 'jock', ""'"", 'podcast', ':', 'spouting', 'weekly', 'sport', 'opinion', 'all', 'over', 'the', 'internet', ',', 'whether', 'you', 'like', 'it', 'or', 'not', '.']",other,0.0088724331282677,0.0017874563050613,0.3615036403036026,0.6274594544015415,0.0003770158615267
1547,MiniTrueArchive,News aggregator. History thru headlines. Tracking propaganda. INFP. Venmo: ministryoftruth / CashApp: $MiniTrueArc,"['news', 'aggregator', '.', 'history', 'thru', 'headline', '.', 'track', 'propaganda', '.', 'infp', '.', 'venmo', ':', 'ministryoftruth', '/', 'cashapp', ':', '$', 'minitruearc']",other,0.0020921846865832,0.0019229666163939,0.3118318051127238,0.6836325710642974,0.0005204725200012
1568,humbertorosero,"Executive Producer, Video Production & Video editor","['executive', 'producer', ',', 'video', 'production', '&', 'video', 'editor']",other,0.0049657568638423,0.0015526975474279,0.3706573760906714,0.621857052947304,0.000967116550754
1682,ithacamcg,"ithacamcg@mstdn.social Historian of #immigration New book, State of Disaster, on #climatemigration. #AndrewCarnegieFellow.","['ithacamcg', '@', 'mstdn.social', 'historian', 'of', '#', 'immigration', 'new', 'book', ',', 'state', 'of', 'disaster', ',', 'on', '#', 'climatemigration', '.', '#', 'andrewcarnegiefellow', '.']",other,0.3313304583585706,0.0161168197083808,0.1588704088926275,0.4920139012184397,0.0016684118219816
1693,JustAnotherFunk,The world wide web allows me to read newspapers from around the world and now I can share my thoughts and views with all you Tweeters too - life is good!,"['the', 'world', 'wide', 'web', 'allow', 'me', 'to', 'read', 'newspaper', 'from', 'around', 'the', 'world', 'and', 'now', 'i', 'can', 'share', 'my', 'thought', 'and', 'view', 'with', 'all', 'you', 'tweeter', 'too', '-', 'life', 'be', 'good', '!']",other,0.0052589640610462,0.0031682818480947,0.335014022797066,0.6549872643728123,0.00157146692098
1694,echevarria_emil,"Global Infrastructure Development,Environmental & Energy Services,Water & Utility Management,Global Large Project Funding, International Governmental Adviser","['global', 'infrastructure', 'development', ',', 'environmental', '&', 'energy', 'service', ',', 'water', '&', 'utility', 'management', ',', 'global', 'large', 'project', 'funding', ',', 'international', 'governmental', 'adviser']",other,0.3532828908110929,0.0991881760902258,0.0028252742624288,0.5427002673245653,0.0020033915116868
1732,tevinricketts,"Weather Lover | Photographer | Architect.

Truth Be Told.","['weather', 'lover', '|', 'photographer', '|', 'architect', '.', 'truth', 'be', 'tell', '.']",other,0.0012904890329454,0.0021855085373442,0.32070989798598,0.6611837965992058,0.0146303078445244
1754,StormMela,"Microbiologist, apolitical until *45, Vote Democratic up and down ballot to save democracy. Support 🌈💙🐳🦅🦋🐈🐕🌎Mask up! Save lives.💉 No DMs, please
#FTPA","['microbiologist', ',', 'apolitical', 'until', '*', '', ',', 'vote', 'democratic', 'up', 'and', 'down', 'ballot', 'to', 'save', 'democracy', '.', 'support', '🌈💙🐳🦅🦋🐈🐕🌎mask', 'up', '!', 'save', 'lives.💉', 'no', 'dm', ',', 'please', '#', 'ftpa']",other,0.4203643379378624,0.0037937192940205,0.0003189588790147,0.5753772509656017,0.0001457329235009
1797,ExtinctCrisis,We're a volunteer-led group that supports the Center for Biological Diversity dedicated to raising awareness about and STOPPING the extinction crisis.,"['we', ""'re"", 'a', 'volunteer-led', 'group', 'that', 'support', 'the', 'center', 'for', 'biological', 'diversity', 'dedicate', 'to', 'raise', 'awareness', 'about', 'and', 'stop', 'the', 'extinction', 'crisis', '.']",other,0.3684085649383494,0.0038890750982541,0.0135263295756365,0.6125482618555163,0.0016277685322435
1896,_JWiley,Auburn University. Part-Time Troll. True Heir to the Iron Throne | | #WhyNot,"['auburn', 'university', '.', 'part-time', 'troll', '.', 'true', 'heir', 'to', 'the', 'iron', 'throne', '|', '|', '#', 'whynot']",other,0.3822464973814629,0.0062587599623774,0.039699926866027,0.5675763410670541,0.0042184747230789
1898,Sec00000101,"Security architect, anthropologist, ocean lover || 'Where there is water, there is life.' -Science ||  'Where there is a sea, there are pirates.' -Greek proverb","['security', 'architect', ',', 'anthropologist', ',', 'ocean', 'lover', '||', ""'where"", 'there', 'be', 'water', ',', 'there', 'be', 'life', '.', ""'"", '-science', '||', ""'where"", 'there', 'be', 'a', 'sea', ',', 'there', 'be', 'pirate', '.', ""'"", '-greek', 'proverb']",other,0.3134294046843536,0.0009186191355004,0.0150269753782906,0.6489153829823705,0.0217096178194846
1921,janetw5112,"Writer, journalist, teacher, sister, dog parent, day dreamer","['writer', ',', 'journalist', ',', 'teacher', ',', 'sister', ',', 'dog', 'parent', ',', 'day', 'dreamer']",other,0.0319900580644198,0.000445081613574,0.3356659752512,0.6309748944832998,0.0009239905875066
1949,GabeFilippelli,"Author #ClimateChangeandLife Editor-in-Chief, GeoHealth Professor, Exec. Director of IU Envir. Resilience Inst., climate change and health, Father, him/he","['author', '#', 'climatechangeandlife', 'editor-in-chief', ',', 'geohealth', 'professor', ',', 'exec', '.', 'director', 'of', 'iu', 'envir', '.', 'resilience', 'inst.', ',', 'climate', 'change', 'and', 'health', ',', 'father', ',', 'him/he']",other,0.426228099543524,0.0092762667343233,0.1588995944544774,0.401033133212709,0.0045629060549667
2096,Nesting4Awhile,"VIA MI FL TN NJ
#FlyEaglesFly  #AJBrown 🏈","['via', 'mi', 'fl', 'tn', 'nj', '#', 'flyeaglesfly', '#', 'ajbrown', '🏈']",other,0.0038799221845477,0.0539428711564363,0.3283818425223794,0.5882323558535522,0.0255630082830844
2125,AlexandroGiraud,"Political observer, Working FOR THE WELFARE OF AMERICA. Edu: Tulane &The George Washington Universities
Observador politico centro,  para educar y proteger.","['political', 'observer', ',', 'work', 'for', 'the', 'welfare', 'of', 'america', '.', 'edu', ':', 'tulane', '&', 'the', 'george', 'washington', 'university', 'observador', 'politico', 'centro', ',', 'para', 'educar', 'y', 'proteger', '.']",other,0.3993584450611516,0.0338788847864074,0.1370725188379161,0.427164630847856,0.0025255204666687
2162,4030lisa,"obviously a secret agent, hemptress, cosmic interpreter, general counterpoint, your average juxtaposition theorist","['obviously', 'a', 'secret', 'agent', ',', 'hemptress', ',', 'cosmic', 'interpreter', ',', 'general', 'counterpoint', ',', 'your', 'average', 'juxtaposition', 'theorist']",other,0.4317849344124885,0.0004428447606705,0.0021580717637259,0.5643139850851054,0.0013001639780096
2193,rgraydon11,"Environmental health researcher: drinking water, #GreatLakes, energy-water-health nexus, climate change, environmental justice & racial equity. he/him","['environmental', 'health', 'researcher', ':', 'drinking', 'water', ',', '#', 'greatlakes', ',', 'energy-water-health', 'nexus', ',', 'climate', 'change', ',', 'environmental', 'justice', '&', 'racial', 'equity', '.', 'he/him']",other,0.4729862469359658,0.0067111144298537,0.0116313382820153,0.5079652374782638,0.0007060628739012
2211,pawley_robert,Zoologist ret.Educator #PHN #resist #metoo #photography evidence Green #atheist #ret #BLM 🇮🇹🇦🇺 Birdscaper #Progressive 🇺🇳🇪🇺 humanist@mastodon.au,"['zoologist', 'ret.educator', '#', 'phn', '#', 'resist', '#', 'metoo', '#', 'photography', 'evidence', 'green', '#', 'atheist', '#', 'ret', '#', 'blm', '🇮🇹🇦🇺', 'birdscaper', '#', 'progressive', '🇺🇳🇪🇺', 'humanist', '@', 'mastodon.au']",other,0.3369830077099747,0.0004696190437689,0.0034516329240778,0.6585936478815622,0.0005020924406162
2238,Alextheargonaut,Actual real life scientist. I know I can’t believe it myself! He/Him,"['actual', 'real', 'life', 'scientist', '.', 'i', 'know', 'i', 'can', '’', 't', 'believe', 'it', 'myself', '!', 'he/him']",other,0.4221534496798707,0.0014023182744138,0.0124872897540224,0.5634001639770159,0.0005567783146773
2350,ytawasol,"Yemen Tawasol
 to continue in various News, scientific, cognitive and recreational fields.
يمن تواصل
 لتتواصل في مختلف المجالات : إخبارية، علمية، معرفية، ترفية.","['yemen', 'tawasol', 'to', 'continue', 'in', 'various', 'news', ',', 'scientific', ',', 'cognitive', 'and', 'recreational', 'field', '.', 'يمن', 'تواصل', 'لتتواصل', 'في', 'مختلف', 'المجالات', ':', 'إخبارية،', 'علمية،', 'معرفية،', 'ترفية', '.']",other,0.0565123467635976,0.0149295007086409,0.4046505425024266,0.5195881169188067,0.0043194931065279
2361,maxirogalo,"Caleña,abogada de profesión. Creyente, resiliente, visionaria, salsera y con un propósito claro en mi vida.","['caleña', ',', 'abogada', 'de', 'profesión', '.', 'creyente', ',', 'resiliente', ',', 'visionaria', ',', 'salsera', 'y', 'con', 'un', 'propósito', 'claro', 'en', 'mi', 'vida', '.']",other,0.3362102183266386,0.0032739887152292,0.0168600961258597,0.6426273690993383,0.0010283277329339
2381,PAULMAR88310557,"Birder and avid bird recorder & done throughout the US when possible:
https://t.co/avtgzxLyux
anti war, gardens","['birder', 'and', 'avid', 'bird', 'recorder', '&', 'do', 'throughout', 'the', 'u', 'when', 'possible', ':', 'http', ':', '//t.co/avtgzxlyux', 'anti', 'war', ',', 'garden']",other,0.0061238108249763,0.0027252299735224,0.4395954589933091,0.5425010555086244,0.0090544446995679
2410,LightDeckDx,We are developing a portfolio of diagnostic tests for settings where lab-quality results are vital in making time-critical decisions.,"['we', 'be', 'develop', 'a', 'portfolio', 'of', 'diagnostic', 'test', 'for', 'setting', 'where', 'lab-quality', 'result', 'be', 'vital', 'in', 'make', 'time-critical', 'decision', '.']",other,0.3624564914346083,0.0020206451026653,0.0588861908301675,0.5753664413336407,0.0012702312989179
2561,_sbhvt,Head of Engineering at https://t.co/JLsXIVJhRd,"['head', 'of', 'engineering', 'at', 'http', ':', '//t.co/jlsxivjhrd']",other,0.3422958084468198,0.0111682032976658,0.0180907072424404,0.6259740535350945,0.0024712274779792
